char,type,sheet,sx,sy,line,order,width,height
110C1172114C,1,2,4529,3363,9,6,329,334
110B11660000,13,2,4513,4066,9,7,367,304
110011611106,1,2,4529,4401,9,8,353,334
110C11630000,1,2,4524,5082,9,9,365,308
110A11750000,1,2,4524,5783,9,10,342,306
110211750000,22,2,4117,1313,10,1,276,290
1140119E0000,6,2,4072,1647,10,2,341,310
110911630000,18,2,4070,1986,10,3,352,308
1106119E1105,2,2,4082,2322,10,4,303,328
110411620000,1,2,4049,2684,10,5,358,296
1101116E0000,1,2,4077,3400,10,6,324,294
110411611106,1,2,4070,4056,10,7,349,338
110B11750000,44,2,4085,4773,10,8,309,289
110B11751105,11,2,4093,5102,10,9,299,340
110B116E0000,11,2,4087,5441,10,10,329,315
110211750000,147,2,4115,5801,10,11,289,300
114C11750000,10,2,4086,6156,10,12,308,294
110311610000,14,2,3599,1308,11,1,368,309
110B11610000,14,2,3172,1320,12,1,351,303
1103119E1100,2,2,3183,1656,12,2,316,300
1112119E1102,6,2,3206,1972,12,3,314,341
11581173111D,2,2,3206,2327,12,4,338,347
110911680000,14,2,3183,3018,12,5,369,317
110B11680000,6,2,3185,3712,12,6,367,304
110911671100,1,2,3190,4035,12,7,338,333
110011610000,12,2,3189,4752,12,8,366,316
1108116E111A,6,2,3218,5428,12,9,328,340
1103119E0000,5,2,3221,6131,12,10,309,277
110B116C0000,7,2,2745,1313,13,1,318,308
111111690000,2,2,2752,2346,13,2,326,302
1100116A114C,3,2,2738,3008,13,3,364,343
1108116E111A,5,2,2752,3700,13,4,325,335
110B11750000,101,2,2757,4410,13,5,304,283
110211750000,93,2,2766,4740,13,6,289,293
1105119E0000,12,2,2777,5078,13,7,292,319
110911750000,70,2,2763,5456,13,8,309,289
110211750000,77,2,2790,5797,13,9,288,292
114C11750000,3,2,2761,6140,13,10,315,291
110311610000,18,2,2264,1298,14,1,364,297
110111740000,35,2,1834,1939,15,1,312,309
110511731100,3,2,1829,2624,15,2,334,311
114C116C0000,1,2,1416,1324,16,1,281,301
11041169111D,3,2,1383,1993,16,2,335,349
114011751102,3,2,1385,2696,16,3,313,327
114C11690000,5,2,1377,3361,16,4,338,342
110711A11100,18,2,1419,4060,16,5,305,330
110B11750000,74,2,1415,4779,16,6,315,279
110A11671102,2,2,1396,5093,16,7,338,336
115811920000,2,2,1398,5814,16,8,361,293
110900000000,7,3,8509,1304,1,1,340,275
110311731100,4,3,8513,1618,1,2,334,321
110211751107,2,3,8532,2302,1,3,306,330
1109119E0000,18,3,8513,2647,1,4,319,301
112B11610000,9,3,8534,2991,1,5,328,301
110411680000,3,3,8496,3356,1,6,377,279
110C119E0000,9,3,8519,4035,1,7,327,334
000011750000,13,3,8666,4718,1,8,73,330
1103119E0000,1,3,8539,5073,1,9,309,287
110B116C0000,5,3,8529,5402,1,10,331,314
110B11630000,7,3,8534,5772,1,11,347,299
114C11731102,2,3,8514,6109,1,12,341,332
110311691102,1,3,8044,1602,2,1,336,344
110B119E1105,18,3,8078,1963,2,2,297,328
110C119E0000,3,3,8053,2659,2,3,326,329
112B119E0000,22,3,8102,2986,2,4,252,343
110211750000,139,3,8098,3369,2,5,288,298
110611620000,2,3,7590,1274,3,1,358,307
1112116A0000,3,3,7595,1979,3,2,362,324
110211670000,1,3,7597,2660,3,3,332,299
1100116E0000,5,3,7593,3346,3,4,343,318
110B11750000,41,3,7619,4048,3,5,309,284
110A11671102,2,3,7607,4728,3,6,339,333
115811920000,2,3,7604,5426,3,7,355,293
110900000000,12,3,7648,6136,3,8,340,243
112011731103,2,3,7147,1280,4,1,330,321
110B11610000,17,3,7124,1610,4,2,352,301
1140119E0000,16,3,7145,1978,4,3,349,304
112B11610000,1,3,7162,2315,4,4,330,299
1107116E0000,5,3,7154,2651,4,5,329,329
114C116F1102,5,3,7166,4019,4,6,325,347
110B11730000,5,3,7168,4739,4,7,333,284
110511690000,9,3,7163,5076,4,8,338,328
110011690000,31,3,7173,5427,4,9,329,297
110C119E1105,2,3,7198,5752,4,10,315,326
110711611103,1,3,7196,6091,4,11,363,342
112B119E0000,18,3,6750,1607,5,1,245,339
110911750000,37,3,6703,1986,5,2,304,283
110211750000,52,3,6738,2330,5,3,275,293
110111740000,5,3,6263,1972,6,1,313,304
110E1175111A,4,3,6270,2633,6,2,295,337
110311610000,7,3,5780,1275,7,1,364,305
110011690000,21,3,5821,2674,7,2,330,306
110C11750000,9,3,5817,3024,7,3,329,297
110F1169114C,2,3,5820,3328,7,4,333,340
11031172114C,1,3,5820,4036,7,5,324,338
110B11660000,11,3,5812,4744,7,6,360,304
110611650000,2,3,5835,5091,7,7,316,301
110611731105,2,3,5824,5419,7,8,327,332
110B11650000,4,3,5831,5776,7,9,322,296
110211731105,13,3,5835,6131,7,10,327,314
111011671102,7,3,5348,1261,8,1,333,339
1105116D114C,7,3,5367,1949,8,2,321,333
11071161111A,10,3,5363,2630,8,3,331,343
1108116E111D,1,3,5360,3321,8,4,338,359
000011750000,11,3,5498,4032,8,5,81,309
111011611102,2,3,5369,5072,8,6,350,337
1112119E0000,30,3,5394,5767,8,7,288,326
1140119E0000,12,3,5371,6129,8,8,331,299
112B119E0000,10,3,4605,1261,9,1,246,342
110B11691109,2,3,4122,1247,10,1,335,335
1100116A0000,8,3,4098,1614,10,2,374,308
110611610000,6,3,4119,1940,10,3,361,302
110511750000,45,3,4127,2296,10,4,305,292
1105119E1105,20,3,4138,2619,10,5,295,320
110511690000,16,3,4124,2963,10,6,323,326
11031172114C,2,3,4092,3645,10,7,323,341
111111670000,2,3,4096,4746,10,8,340,297
110B11610000,13,3,4103,5076,10,9,346,296
110911750000,72,3,4103,5433,10,10,311,287
1102119E1105,3,3,4128,5751,10,11,297,316
111111690000,2,3,4119,6117,10,12,330,305
1100116A114C,1,3,3635,1594,11,1,366,340
1108116E111A,4,3,3659,2277,11,2,321,332
110B11750000,82,3,3656,2995,11,3,316,284
112F11690000,5,3,3655,3347,11,4,344,288
110A1172111D,1,3,3662,3648,11,5,321,351
110011740000,2,3,3654,4366,11,6,316,306
1112119E0000,18,3,3673,5065,11,7,286,315
110911750000,56,3,3659,5442,11,8,311,287
110211750000,84,3,3679,5773,11,9,294,300
